[1] "Today's date is 2026-07-03"
       Package   Version
     base64enc     0.1-6
      blogdown      1.24
      bookdown      0.47
         bslib    0.11.0
        cachem     1.1.0
           cli     3.6.6
    commonmark     2.0.0
        digest    0.6.39
        eulerr     8.1.0
      evaluate     1.0.5
       fastmap     1.2.0
   fontawesome     0.5.3
            fs     2.1.0
         GenSA    1.1.15
          glue     1.8.1
     gridExtra     2.3.1
        gtable     0.3.6
         highr      0.12
     htmltools     0.5.9
        httpuv    1.6.17
     jquerylib     0.1.4
      jsonlite     2.0.0
         knitr      1.51
         later     1.4.8
     lifecycle     1.0.5
      litedown       0.9
      magrittr     2.0.5
      markdown       2.0
       memoise     2.0.1
          mime      0.13
          otel     0.2.0
      polyclip    1.10-7
    polylabelr     1.0.0
      promises     1.5.0
            R6     2.6.1
      rappdirs     0.3.4
          Rcpp 1.1.1-1.1
 RcppArmadillo  15.4.0-1
         rlang     1.2.0
     rmarkdown      2.31
     rprojroot     2.1.1
          sass    0.4.10
         servr      0.33
       stringi     1.8.7
       stringr     1.6.0
       tinytex      0.60
         vctrs     0.7.3
          xfun      0.59
          yaml    2.3.12
